年度,riceArea,riceYield,barleyArea,barleyYield,forestPriv
2011,3500,17300,883,2580,27786
2012,3460,17300,858,1990,27785
2013,3440,16800,839,2390,27785
2014,3400,16800,830,2470,27783
2015,3300,15800,876,1900,27914
2016,3220,16000,907,1850,28197
2017,3080,15500,933,2430,28197
2018,3120,15500,933,2720,28197
2019,2970,14000,934,3460,28197
2020,2890,13200,962,3690,27897
2021,2850,14700,957,3380,27893
2022,2860,15200,756,2220,27895
2023,2820,14400,774,2150,27895
2024,2830,14200,973,1920,27895
2025,,,,,27896
