年度,elemNum,elemStu,elemTea,jrNum,jrStu,jrTea,hsNum,hsStu,hsTea,careAll,careS1,careS2,careH1,careH2,careH35,hospNum,clinicNum,dentNum,kodomoCnt,hoikuStu,jidoHH
2011,26,6260,444,10,3199,247,5,2489,220,5924,812,678,1101,966,2367,10,97,55,6315,2637,10874
2012,26,6132,443,10,3194,249,5,2439,217,6155,863,723,1197,1002,2370,10,96,55,6332,2680,8254
2013,26,6029,441,10,3122,247,5,2368,214,6289,973,793,1250,981,2292,10,93,55,6223,2706,8049
2014,26,5874,435,10,3040,241,5,2387,209,6469,1017,817,1307,1018,2310,10,93,55,10891,2740,7942
2015,26,5814,442,10,2970,244,5,2342,204,6722,1013,866,1469,1040,2334,10,94,55,12404,2797,7765
2016,26,5770,444,10,2917,243,5,2328,201,6914,1060,926,1455,1083,2390,10,93,55,13219,2695,7605
2017,26,5721,449,10,2786,242,5,2243,202,6907,1061,962,1431,1129,2324,10,89,55,13569,2628,7890
2018,26,5756,455,10,2690,239,5,2189,202,7102,1162,1000,1524,1063,2353,10,87,53,13361,2493,7724
2019,25,5675,456,10,2654,238,5,2118,203,7223,1263,949,1584,1133,2294,10,87,52,13159,2449,7600
2020,25,5621,463,10,2653,239,5,2068,205,7247,1192,945,1639,1124,2347,10,87,52,12953,2177,7468
2021,25,5430,464,10,2758,241,5,1977,206,7165,1237,941,1645,1064,2278,10,83,53,12725,2101,7312
2022,25,5317,462,10,2745,241,5,1975,210,7276,1303,960,1687,1017,2309,10,83,51,12455,2016,6980
2023,25,5207,459,10,2697,240,5,1975,211,7372,1337,1056,1745,978,2256,,,,12047,2032,6768
2024,25,5114,467,10,2644,237,5,1997,216,7459,1381,1085,1750,1008,2235,,,,14258,1919,7874
2025,25,4945,464,10,2562,240,5,1956,215,,,,,,,,,,,,
