年度,finIn,finOut,taxTot,taxCiv,taxProp,finMins,finEdu
2011,45264,42812,16109,6156,8901,13903,3547
2012,46668,43959,15751,6319,8388,14875,3542
2013,49249,43724,16142,6602,8399,14605,3461
2014,49157,46419,15595,6094,8382,15998,4653
2015,50910,47683,15512,6052,8353,16646,5094
2016,51377,49265,15429,5773,8496,16521,4583
2017,49781,47691,15801,6009,8653,17123,5435
2018,51383,48827,15777,5952,8701,16986,5217
2019,56265,53853,16212,6143,8918,17791,6100
2020,61630,58409,15796,5811,8821,17835,5048
2021,57583,53757,15834,6062,8534,20239,4864
2022,59371,55190,15894,5949,8647,19637,5206
2023,55902,52747,16328,6186,8840,20518,4805
2024,59661,55987,16960,5711,9968,21130,8317
2025,,,,,,,
2026,,,,,,,
