年度,pop,male,female,hh,birth,death,mvin,mvout,natChg,socChg,young,work,old,old75,youngR,workR,oldR
2011,114384,54848,59536,48465,969,1352,2793,2829,-383,-36,15443,68669,30115,16740,13.5,60.1,26.4
2012,114766,55128,59638,49476,903,1359,2858,3047,-456,-189,15371,68029,30445,17009,13.5,59.8,26.7
2013,113859,54690,59169,49514,900,1372,2966,3210,-472,-244,15158,67593,31252,17335,13.3,59.3,27.4
2014,113022,54323,58699,49741,934,1414,3087,3091,-480,-4,14842,66195,32090,17242,13.1,58.5,28.4
2015,112215,53953,58262,49964,846,1427,3173,3179,-581,-6,14576,64931,32856,17355,13.0,57.8,29.2
2016,111745,53832,57913,50361,800,1375,2955,2846,-575,109,14317,64014,33468,17554,12.8,57.3,29.9
2017,110887,53532,57355,50569,818,1429,3191,3327,-611,-136,14024,63141,34029,17901,12.6,56.8,30.6
2018,109768,53032,56736,50524,736,1397,3221,3374,-661,-153,13825,62010,34401,17983,12.5,56.3,31.2
2019,109071,52748,56323,50699,719,1397,3446,3309,-678,137,13575,60998,34662,18149,12.4,55.8,31.7
2020,108162,52330,55832,50869,666,1522,2789,3071,-856,-282,13373,60791,34790,18336,12.3,55.8,31.9
2021,107052,51725,55327,50763,650,1459,2740,3133,-809,-393,13122,59557,34824,18083,12.2,55.4,32.4
2022,105879,51288,54591,50781,621,1642,3378,3623,-1021,-245,12808,58532,34925,18245,12.1,55.1,32.9
2023,104655,50807,53848,50787,560,1545,3379,3361,-985,18,12419,57787,34749,18743,11.8,55.1,33.1
2024,103579,50362,53217,50894,555,1649,3142,3030,-1094,112,11981,57309,34682,19366,11.5,55.1,33.4
2025,102379,49931,52448,50882,,,,,,,11615,56838,34471,19816,11.3,55.2,33.5
2026,101711,49589,52122,50817,,,,,,,11240,56089,34382,20302,11.1,55.1,33.8
